type,name,notice,furigana
燃える,アイスキャンディーの棒,,あ
燃える,アイスクリームのカップ・フタ,,あ
燃えない,アイスピック,,あ
燃える,アイスまくら（アイスノン）,,あ
燃えない,アイロン,コードは切って「硬質ごみ」へ,あ
燃えない,アイロン台,,あ
燃える,アイロン用のり容器,中身を使い切る,あ
燃える,アカすりタオル,,あ
燃えない,アクリル板,１ｍ角以下のもの又はその寸法に切ったもの,あ
古紙・古衣類,厚紙,（その他の紙）,あ
燃えない,圧力鍋,,あ
燃える,アノラック,,あ
燃える,油（エンジンオイル（少量））,紙や布に染みこませる,あ
燃える,油（オイル（少量））,紙や布に染みこませる,あ
燃える,油（食用油）,紙や布に染みこませる又は固めて出す,あ
燃える,油（天ぷら油）,紙や布に染みこませる又は固めて出す,あ
燃える,油こし（紙製）,,あ
燃えない,油差し（金属製）,,あ
燃える,油差し（金属製以外）,,あ
燃える,雨ガッパ,,あ
燃えない,雨どい,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,あ
燃える,網,ビニール製に限る　１ｍ角以下のもの又はその寸法に切ったもの,あ
燃える,編み針（竹製）,,あ
燃えない,編み針（竹製以外）,,あ
燃える,アルミ箔（ホイル）,,あ
燃える,アルバム,,あ
燃えない,アルミカップ,,あ
燃える,アルミカップ（弁当用）,,あ
燃えない,アルミ鍋,,あ
特殊・硬質,アルミホイール（タイヤ除く）,,あ
燃えない,アルミホイルの刃,,あ
燃えない,泡立て器,コードは切って「硬質ごみ」へ,あ
燃えない,安全靴,,あ
燃えない,安全ピン,,あ
燃えない,アンテナ（室内受信用）,コードは切って「硬質ごみ」へ,あ
特殊・硬質,アンテナケーブル,,あ
燃えない,アンプ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,あ
燃えない,アンプル,,あ
燃えない,衣装ケース,,い
燃える,イス（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,い
燃えない,イス（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,い
燃える,板（木）,長さ４０㎝厚さ８㎝以下のもの又ははその寸法に切ったもの,い
燃えない,一斗缶,少量に限る・中身を使い切る,い
燃える,糸（家庭用のみ）,,い
燃える,犬小屋（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,い
燃えない,犬小屋（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,い
燃えない,イヤホン,,い
燃える,衣類,,い
燃えない,入れ歯,,い
燃える,色鉛筆（容器は除く）,,い
燃える,印鑑,,い
燃える,印鑑ケース,,い
燃えない,インクカートリッジ（プリンター用）,販売店に確認,い
燃えない,インク容器,中身を使い切る,い
燃える,インスタントラーメン,,い
燃える,インスタントラーメン（袋）,,い
燃えない,インターホン,,い
燃える,飲料製品の口付きアルミパック,,い
燃える,ウインドブレーカー,,う
燃えない,植木鉢,,う
燃える,植木鉢（苗用ポット）,,う
燃える,ウエス,,う
燃える,ウエストバック,,う
燃える,ウエットティッシュ,,う
燃える,ウォッシャー液容器,中身を使い切る,う
燃える,うがい薬容器,中身を使い切る,う
燃える,浮き輪,,う
燃える,うちわ,,う
燃えない,腕時計,,う
燃える,運動靴,,う
燃える,ウエットスーツ,,う
燃える,エアークッション,,え
燃える,エアークッション（梱包用）,,え
燃える,エアーポンプ（手動用）,,え
燃えない,エアーポンプ（電動式）,コードは切って「硬質ごみ」へ,え
燃える,エアーマット,,え
燃える,エアゾール缶のキャップ,,え
燃えない,Ａ．Ｃアダプター,コードは切って「硬質ごみ」へ,え
燃えない,液晶テレビ,コードは切って「硬質ごみ」へ,え
特殊・硬質,エキスパンダー,,え
燃える,液体のり容器,中身を使い切る,え
燃える,液体肥料容器,中身を使い切る,え
燃えない,絵の具容器（金属製）,中身を使い切る,え
燃える,絵の具容器（金属製以外）,中身を使い切る,え
燃える,エプロン,,え
燃えない,ＭＯ,,え
燃えない,ＭＯプレーヤー,コードは切って「硬質ごみ」へ,え
燃えない,ＭＤ,,え
燃えない,ＭＤプレーヤー,コードは切って「硬質ごみ」へ,え
燃えない,ＬＤ,,え
燃えない,ＬＤプレーヤー,コードは切って「硬質ごみ」へ,え
燃えない,園芸用バリカン,,え
特殊・硬質,延長コード,,え
燃えない,塩ビ管,少量に限る　長さ１ｍ以下のもの又はその寸法以下に切ったもの,え
燃える,鉛筆,,え
燃えない,鉛筆削り,コードは切って「硬質ごみ」へ,え
燃えない,オーブントースター,コードは切って「硬質ごみ」へ,お
燃えない,オカリナ,,お
燃えない,置時計,,お
燃えない,屋外アンテナ,コードは切って「硬質ごみ」へ,お
燃える,桶（木・竹製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,お
燃えない,桶（木・竹製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,お
燃える,押し入れスノコ（木製）,,お
燃えない,押し入れスノコ（木製以外）,,お
燃える,おしぼり,,お
燃える,おしゃぶり,,お
燃えない,おたま,,お
燃える,落ち葉,少量に限る（２～３袋程度）,お
燃える,お手拭,,お
燃える,帯（和服）,長さ１ｍ以下のもの又はその寸法に切ったもの,お
燃える,お風呂マット,４０㎝角以下のもの又はその寸法に切ったもの,お
燃える,おぼん（木製）,,お
燃えない,おぼん（木製以外）,,お
燃えない,おまる,,お
燃える,おむつカバー,,お
燃える,おもちゃ（紙・木製）,,お
燃えない,おもちゃ（紙・木製以外）,,お
古紙・古衣類,折り紙,（その他の紙）,お
燃えない,折りたたみイス,,お
燃えない,オルゴール,,お
燃えない,おろし金,,お
燃える,おわん（木製）,,お
燃えない,おわん（プラスチック製）,,お
燃えない,温度計,水銀式は「特殊ごみ」へ,お
燃えない,温風ヒーター,灯油を抜く　コードは切って「硬質ごみ」へ,お
燃えない,カーコンポ,コードは切って「硬質ごみ」へ,か
燃える,ガーゼ,,か
燃える,カーテン,１ｍ角以下のもの又はその寸法に切ったもの,か
燃えない,カーテンレール,長さ１ｍ以下のもの又はその寸法に切ったもの,か
燃える,カード,,か
燃えない,カーナビゲーション,コードは切って「硬質ごみ」へ,か
燃える,カーペット,４０㎝角以下のもの又はその寸法に切ったもの,か
燃えない,カーペットローラー,,か
燃える,カーボン紙,,か
燃えない,カーラー,,か
燃える,貝殻,,か
燃えない,懐中電灯,,か
燃える,買物かご（木・竹製）,,か
燃えない,買物かご（木・竹製以外）,,か
燃えない,カイロ,,か
燃える,カイロ（使い捨て）,,か
燃える,ガウン,,か
燃えない,鏡,,か
燃えない,かき氷機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,か
燃えない,額縁,１ｍ角以下のもの又はその寸法に切ったもの,か
燃える,額縁（木枠）,４０㎝角以下のもの又はその寸法に切ったもの,か
燃えない,掛け時計,,か
特殊・硬質,カケヤ,,か
燃える,カゴ（木・竹製）,,か
燃えない,カゴ（木・竹製以外）,,か
燃えない,傘,,か
燃えない,傘立て,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,か
燃えない,加湿器,コードは切って「硬質ごみ」へ,か
古紙・古衣類,菓子箱,（その他の紙）,か
燃える,菓子袋,,か
燃える,カスタネット,,か
燃えない,ガステーブル,,か
燃えない,ガスレンジ,,か
燃えない,カセットコンロ,,か
燃えない,カセットテープ,,か
燃えない,カセットデッキ,,か
古紙・古衣類,型紙,（その他の紙）,か
燃えない,片手鍋,,か
燃えない,カチューシャ（髪どめ）,,か
燃えない,楽器（アコーディオン）,,か
燃えない,楽器（エレキギター）,コードは切って「硬質ごみ」へ,か
燃える,楽器（ギター）,,か
燃えない,楽器（クラリネット）,,か
燃えない,楽器（サックス）,,か
燃えない,楽器（シンバル）,,か
燃えない,楽器（タンバリン）,,か
燃えない,楽器（トライアングル）,,か
燃えない,楽器（ドラム）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,か
燃えない,楽器（トランペット）,,か
燃えない,楽器（トロンボーン）,,か
燃えない,楽器（ハーモニカ）,,か
燃える,楽器（バイオリン）,,か
燃えない,楽器（フルート）,,か
燃えない,カッター（押し切り）,,か
燃えない,カッターナイフ,,か
燃える,ガット,,か
燃える,カット綿,,か
燃える,合羽,,か
燃えない,カップ（食器）,,か
燃える,カップ麺,,か
燃える,カップめん容器・スープ袋,,か
燃える,割烹着,,か
燃える,かつら,,か
燃えない,家庭用ゲーム機,,か
燃えない,家庭用ゲームソフト,,か
燃えない,蚊取り線香カバー,,か
燃えない,金網（バーベキュー用）,,か
燃えない,カネジャク（金尺）,,か
燃える,カバン,,か
燃える,画板,,か
燃える,カビ取り剤容器,,か
燃えない,画鋲,,か
燃えない,花ビン,,か
燃える,壁紙,,か
燃えない,釜,,か
燃えない,鎌,,か
燃える,カマボコ（板）,,か
燃える,紙オムツ（汚物は除く）,,か
燃える,紙コップ,,か
燃える,紙皿,,か
燃えない,カミソリ,,か
燃えない,カミソリ替え刃,,か
燃える,紙テープ,,か
燃える,紙粘土,,か
燃える,髪の毛,,か
古紙・古衣類,紙袋,,か
燃える,紙やすり,,か
燃える,ガム,,か
燃える,ガムテープ,,か
燃えない,カメラ,,か
燃えない,カメラのレンズ,,か
古紙・古衣類,画用紙,,か
燃えない,ガラス,,か
燃える,ガラス撥水コート容器,,か
燃えない,軽石,,か
古紙・古衣類,カレンダー,,か
燃える,革靴,,か
燃える,革ジャンパー,,か
燃える,革製品（かばん・靴・財布等）,,か
燃える,皮手袋,,か
燃えない,皮むき,,か
燃えない,瓦,,か
カン,缶（アイロン用のり容器　スプレー）,,か
カン,缶（育毛剤容器　スプレー）,,か
カン,缶（薄め液容器）,,か
カン,缶（エアゾール）,,か
カン,缶（オイル缶　４㍑以下）,,か
燃えない,缶（オイル缶　４㍑超）,,か
カン,缶（菓子の缶）,,か
燃えない,缶（菓子の缶）,,か
カン,缶（ガスカートリッジ）,,か
燃えない,缶（ガソリン携行缶）,,か
カン,缶（缶詰）,,か
カン,缶（薬の容器）,,か
カン,缶（毛染め容器）,,か
カン,缶（粉ミルク容器）,,か
カン,缶（殺虫剤容器　スプレー）,,か
カン,缶（サラダオイル容器）,,か
カン,缶（消臭スプレー）,,か
カン,缶（食用油容器）,,か
カン,缶（スプレー缶）,,か
カン,缶（スプレー式消火器）,,か
カン,缶（整髪料容器　スプレー）,,か
カン,缶（タイヤワックス容器　スプレー）,,か
カン,缶（茶筒）,,か
カン,缶（塗料容器　４㍑以下）,,か
燃えない,缶（塗料容器　４㍑超）,,か
カン,缶（塗料容器　スプレー）,,か
カン,缶（入浴剤容器）,,か
カン,缶（ヒゲそり用ムース容器）,,か
カン,缶（ヘアスプレー）,,か
カン,缶（ペットフード容器）,,か
カン,缶（ペンキ容器　４㍑以下）,,か
燃えない,缶（ペンキ容器　４㍑超）,,か
カン,缶（芳香剤容器　スプレー）,,か
カン,缶（防水スプレー）,,か
カン,缶（ミルク缶）,,か
カン,缶（ムース　スプレー）,,か
カン,缶（焼き海苔容器）,,か
カン,缶（ライター用オイル缶）,,か
カン,缶（ライター用ガス缶）,,か
カン,缶（ワックス容器）,,か
燃えない,換気扇,,か
燃える,換気扇フィルター,,か
燃えない,缶切り,,か
燃えない,乾燥機（食器）,,か
燃えない,乾燥機（布団）,,か
燃える,乾燥剤,,か
燃える,感熱紙,,か
燃えない,キーホルダー,,き
燃える,ギターケース,,き
燃える,キッチンタオル,,き
燃える,キッチンペーパー,,き
特殊・硬質,キネ（杵）,,き
燃える,木の板,長さ４０㎝厚さ８㎝以下のもの又ははその寸法に切ったもの,き
燃える,木箱,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,き
燃える,木べら,,き
燃える,着物,,き
燃えない,キャスター,,き
燃えない,脚立,高さ１ｍ以下のもの,き
燃える,キャッシュカード,,き
燃えない,キャップ（金属製）,,き
燃える,キャップ（プラスチック製）,,き
燃えない,急須,,き
燃えない,給湯器（台所用）,,き
古紙・古衣類,牛乳・ジュースパック,（紙パック）なるべく販売店へ　,き
燃える,吸盤,,き
燃えない,給油ポンプ,,き
燃えない,霧吹き（金属製）,,き
燃える,霧吹き（金属製以外）,,き
燃える,禁煙用パイプ,,き
燃えない,金魚鉢（水槽）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,き
燃えない,金庫（家庭用：手さげ）,,き
燃える,巾着,金具は取り外して「燃やせないごみ」へ,き
燃えない,空気入れ（自転車用）,,く
燃える,空気清浄機のフィルター,,く
燃えない,クーラーボックス,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,く
燃えない,釘,,く
燃える,草,少量に限る（２～３袋程度）,く
特殊・硬質,くさり（金属製）,,く
燃えない,くさり（金属製以外）,,く
燃える,くし（木・竹製）,,く
燃えない,くし（木・竹製以外）,,く
燃える,くず取りネット,,く
燃える,薬（錠剤・カプセルなど）,,く
燃えない,果物ナイフ,,く
燃える,果物ネット,,く
燃えない,口紅の容器（金属製）,,く
燃える,口紅の容器（プラスチック製）,,く
燃える,靴,,く
燃える,靴中敷き,,く
燃えない,クッキングタイマー,,く
燃えない,クッキングヒーター,コードは切って「硬質ごみ」へ,く
燃える,クッキングペーパー,,く
燃える,靴下,,く
燃える,クッション,４０㎝角以下のもの又はその寸法に切ったもの,く
燃えない,靴墨容器,中身を使い切る,く
燃えない,靴用クリーム容器,中身を使い切る,く
燃える,首輪,金具は取って「燃やせないごみ」へ,く
燃える,熊手（木・竹製）,長さ４０㎝以下のもの又はその寸法に切ったもの,く
燃えない,熊手（木・竹製以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,く
燃えない,グラス（食器）,,く
燃える,グラスウール,量が多い場合は断る,く
燃えない,クランプ,,く
燃える,クリアファイル,,く
燃えない,クリスマスツリー,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,く
燃えない,クリップ,,く
燃えない,グリル,コードは切って「硬質ごみ」へ,く
燃える,クレジットカード,,く
燃える,クレヨン,,く
燃える,クレンザー容器,中身を使い切る,く
燃えない,グロー球,,く
燃える,グローブ,,く
燃える,クロス,,く
特殊・硬質,クワ（鍬）,,く
燃える,軍手,,く
特殊・硬質,草刈機の歯,,く
特殊・硬質,蛍光灯（蛍光管）,,け
燃えない,蛍光ペン,,け
燃えない,携帯ゲーム機,,け
燃えない,携帯用発電機,,け
燃える,毛糸,,け
燃えない,計量カップ（金属・プラスチック製）,,け
燃えない,ケース類,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,け
特殊・硬質,ケーブル,,け
燃えない,ゲームソフト,,け
燃える,消しゴム,,け
燃えない,化粧品容器（コンパクト）,中身を使い切る,け
燃えない,化粧品容器（除光液ビン）,中身を使い切る,け
燃えない,化粧品容器（乳液・化粧水ビン）,中身を使い切る,け
燃えない,化粧品容器（マニキュア）,中身を使い切る,け
燃える,毛染め容器（プラスチック）,中身を使い切る,け
燃えない,血圧計,コードは切って「硬質ごみ」へ,け
燃えない,ケトル（やかん）,,け
燃えない,毛抜き,,け
燃える,けん引ロープ（ワイヤー以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,け
特殊・硬質,けん引ロープ（ワイヤー）,,け
燃える,玄関マット,４０㎝角以下のもの又はその寸法に切ったもの,け
燃えない,健康器具（足踏み健康器具）,,け
特殊・硬質,剣山,,け
燃える,研磨剤容器（紙製・プラスチック製）,中身を使い切る,こ
燃えない,研磨剤容器（その他）,中身を使い切る,こ
燃えない,碁石,,こ
燃える,鯉のぼり,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃えない,工具箱（金属・プラスチック製）,,こ
特殊・硬質,工具類（斧）,,こ
特殊・硬質,工具類（カナヅチ・ハンマー）,,こ
燃えない,工具類（カンナ）,,こ
燃えない,工具類（キリ）,,こ
特殊・硬質,工具類（釘抜き・バール）,,こ
燃えない,工具類（スパナ）,,こ
燃えない,工具類（ドライバー）,,こ
特殊・硬質,工具類（ナタ）,,こ
燃えない,工具類（ニッパー）,,こ
燃えない,工具類（ノギス）,,こ
燃えない,工具類（ノコギリ）,,こ
燃えない,工具類（ノミ）,,こ
燃えない,工具類（プライヤー）,,こ
燃えない,工具類（ペンチ）,,こ
燃えない,工具類（モンキー）,,こ
燃えない,工具類（ヤスリ）,,こ
燃えない,工具類（レンチ）,,こ
燃える,口中清涼剤容器,中身を使い切る,こ
燃えない,コーキングガン,,こ
燃える,コーキング剤容器,中身を使い切る,こ
燃える,ゴーグル,,こ
燃える,コート,,こ
特殊・硬質,コード,,こ
特殊・硬質,コードリール,,こ
燃えない,コーヒーメーカー,コードは切って「硬質ごみ」へ,こ
燃えない,氷割り（アイスピック）,,こ
燃える,黒板消し,,こ
燃える,固形燃料,,こ
燃える,固形のり,,こ
燃える,ござ,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃えない,こし器,,こ
燃えない,コショウ入れ,,こ
燃える,コットン,,こ
燃えない,コップ,,こ
燃えない,コップ洗い（ブラシ）,,こ
燃えない,コップ掛け,,こ
燃えない,コッヘル（キャンプ用食器）,,こ
燃えない,コネクタ,コードは切って「硬質ごみ」へ,こ
燃える,碁盤（木製）,厚さ８㎝以下のもの,こ
古紙・古衣類,コミック雑誌,（その他の紙）,こ
燃える,ごみ取りネット,,こ
燃えない,ごみ取りネット（金アミ製）,,こ
燃える,ごみ箱（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃えない,ごみ箱（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,ゴム,,こ
燃える,ゴムパイプ,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃える,ゴムひも,,こ
燃える,ゴムホース,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃える,ゴムボート,空気を抜いて,こ
燃える,ゴムマット,４０㎝角以下のもの又はその寸法に切ったもの,こ
燃える,ゴム手袋,,こ
燃えない,米びつ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,コルク,,こ
燃えない,コルク抜き,,こ
燃える,コルクボード,４０㎝角以下のもの又はその寸法に切ったもの,こ
特殊・硬質,ゴルフクラブ,,こ
特殊・硬質,コンクリートブロック,少量に限る,こ
燃えない,混合栓,,こ
燃えない,コンセント,コードは切って「硬質ごみ」へ,こ
燃える,コンタクトレンズ,,こ
燃えない,コンテナ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,コンドーム,,こ
